1 7 1941 yesterday = 6 today = 2, day mismatch
1 6 1942 yesterday = 7 today = 6, day mismatch
1 7 1942 yesterday = 7 today = 3, day mismatch
1 6 1943 yesterday = 1 today = 7, day mismatch
1 7 1943 yesterday = 1 today = 4, day mismatch
1 6 1944 yesterday = 3 today = 2, day mismatch
1 7 1944 yesterday = 3 today = 6, day mismatch
1 6 1945 yesterday = 4 today = 3, day mismatch
1 7 1945 yesterday = 4 today = 7, day mismatch
1 6 1946 yesterday = 5 today = 4, day mismatch
1 7 1946 yesterday = 5 today = 1, day mismatch
1 6 1947 yesterday = 6 today = 5, day mismatch
1 7 1947 yesterday = 6 today = 2, day mismatch
1 6 1948 yesterday = 1 today = 7, day mismatch
1 7 1948 yesterday = 1 today = 4, day mismatch
1 6 1949 yesterday = 2 today = 1, day mismatch
1 7 1949 yesterday = 2 today = 5, day mismatch
1 6 1950 yesterday = 3 today = 2, day mismatch
1 7 1950 yesterday = 3 today = 6, day mismatch
1 6 1951 yesterday = 4 today = 3, day mismatch
1 7 1951 yesterday = 4 today = 7, day mismatch
1 6 1952 yesterday = 6 today = 5, day mismatch
1 7 1952 yesterday = 6 today = 2, day mismatch
1 6 1953 yesterday = 7 today = 6, day mismatch
1 7 1953 yesterday = 7 today = 3, day mismatch
1 6 1954 yesterday = 1 today = 7, day mismatch
1 7 1954 yesterday = 1 today = 4, day mismatch
1 6 1955 yesterday = 2 today = 1, day mismatch
1 7 1955 yesterday = 2 today = 5, day mismatch
1 6 1956 yesterday = 4 today = 3, day mismatch
1 7 1956 yesterday = 4 today = 7, day mismatch
1 6 1957 yesterday = 5 today = 4, day mismatch
1 7 1957 yesterday = 5 today = 1, day mismatch
1 6 1958 yesterday = 6 today = 5, day mismatch
1 7 1958 yesterday = 6 today = 2, day mismatch
1 6 1959 yesterday = 7 today = 6, day mismatch
1 7 1959 yesterday = 7 today = 3, day mismatch
1 6 1960 yesterday = 2 today = 1, day mismatch
1 7 1960 yesterday = 2 today = 5, day mismatch
1 6 1961 yesterday = 3 today = 2, day mismatch
1 7 1961 yesterday = 3 today = 6, day mismatch
1 6 1962 yesterday = 4 today = 3, day mismatch
1 7 1962 yesterday = 4 today = 7, day mismatch
1 6 1963 yesterday = 5 today = 4, day mismatch
1 7 1963 yesterday = 5 today = 1, day mismatch
1 6 1964 yesterday = 7 today = 6, day mismatch
1 7 1964 yesterday = 7 today = 3, day mismatch
1 6 1965 yesterday = 1 today = 7, day mismatch
1 7 1965 yesterday = 1 today = 4, day mismatch
1 6 1966 yesterday = 2 today = 1, day mismatch
1 7 1966 yesterday = 2 today = 5, day mismatch
1 6 1967 yesterday = 3 today = 2, day mismatch
1 7 1967 yesterday = 3 today = 6, day mismatch
1 6 1968 yesterday = 5 today = 4, day mismatch
1 7 1968 yesterday = 5 today = 1, day mismatch
1 6 1969 yesterday = 6 today = 5, day mismatch
1 7 1969 yesterday = 6 today = 2, day mismatch
1 6 1970 yesterday = 7 today = 6, day mismatch
1 7 1970 yesterday = 7 today = 3, day mismatch
1 6 1971 yesterday = 1 today = 7, day mismatch
1 7 1971 yesterday = 1 today = 4, day mismatch
1 6 1972 yesterday = 3 today = 2, day mismatch
1 7 1972 yesterday = 3 today = 6, day mismatch
1 6 1973 yesterday = 4 today = 3, day mismatch
1 7 1973 yesterday = 4 today = 7, day mismatch
1 6 1974 yesterday = 5 today = 4, day mismatch
1 7 1974 yesterday = 5 today = 1, day mismatch
1 6 1975 yesterday = 6 today = 5, day mismatch
1 7 1975 yesterday = 6 today = 2, day mismatch
1 6 1976 yesterday = 1 today = 7, day mismatch
1 7 1976 yesterday = 1 today = 4, day mismatch
1 6 1977 yesterday = 2 today = 1, day mismatch
1 7 1977 yesterday = 2 today = 5, day mismatch
1 6 1978 yesterday = 3 today = 2, day mismatch
1 7 1978 yesterday = 3 today = 6, day mismatch
1 6 1979 yesterday = 4 today = 3, day mismatch
1 7 1979 yesterday = 4 today = 7, day mismatch
1 6 1980 yesterday = 6 today = 5, day mismatch
1 7 1980 yesterday = 6 today = 2, day mismatch
1 6 1981 yesterday = 7 today = 6, day mismatch
1 7 1981 yesterday = 7 today = 3, day mismatch
1 6 1982 yesterday = 1 today = 7, day mismatch
1 7 1982 yesterday = 1 today = 4, day mismatch
1 6 1983 yesterday = 2 today = 1, day mismatch
1 7 1983 yesterday = 2 today = 5, day mismatch
1 6 1984 yesterday = 4 today = 3, day mismatch
1 7 1984 yesterday = 4 today = 7, day mismatch
1 6 1985 yesterday = 5 today = 4, day mismatch
1 7 1985 yesterday = 5 today = 1, day mismatch
1 6 1986 yesterday = 6 today = 5, day mismatch
1 7 1986 yesterday = 6 today = 2, day mismatch
1 6 1987 yesterday = 7 today = 6, day mismatch
1 7 1987 yesterday = 7 today = 3, day mismatch
1 6 1988 yesterday = 2 today = 1, day mismatch
1 7 1988 yesterday = 2 today = 5, day mismatch
1 6 1989 yesterday = 3 today = 2, day mismatch
1 7 1989 yesterday = 3 today = 6, day mismatch
1 6 1990 yesterday = 4 today = 3, day mismatch
1 7 1990 yesterday = 4 today = 7, day mismatch
1 6 1991 yesterday = 5 today = 4, day mismatch
1 7 1991 yesterday = 5 today = 1, day mismatch
1 6 1992 yesterday = 7 today = 6, day mismatch
1 7 1992 yesterday = 7 today = 3, day mismatch
1 6 1993 yesterday = 1 today = 7, day mismatch
